id,count_blast,AvgIdBlast
A0A081UN00,47,91.83570212765957
A0A081UN04,164,95.44867073170732
A0A081UN30,109,96.64389908256881
A0A081UND7,160,97.32713125000001
A0A081UNJ3,111,96.51765765765767
A0A081UNJ6,54,96.30462962962963
A0A081UNZ7,277,89.91641155234657
A0A081UPN4,52,94.02782692307693
A0A081UPN5,117,92.81913675213676
A0A081UPN8,57,98.10835087719299
A0A081UPQ1,47,95.82806382978723
A0A081UPQ3,165,89.34004848484848
A0A081UPQ9,107,90.37793457943926
A0A081UQ92,282,94.80580141843971
A0A081UQ96,251,87.86200398406375
A0A081UQ97,296,94.23228378378379
A0A081UQL1,63,97.2184761904762
A0A081UQN9,247,96.81595951417005
A0A081UQX4,121,96.4176611570248
A0A081UQY1,35,94.43311428571428
A0A081UQY4,112,95.89391071428572
A0A081UQZ9,74,97.2390945945946
A0A081UR40,246,90.7120569105691
A0A081UR53,79,91.76889873417721
A0A081UR54,66,95.5395
A0A081URM1,153,98.20830718954248
A0A081URT2,131,95.34954961832061
A0A081URT9,104,93.88478846153846
A0A081USC9,142,93.20358450704225
A0A081USE0,187,96.7708128342246
A0A081USN9,85,95.36798823529412
A0A081USQ5,65,95.8404923076923
A0A081UT11,15,98.16506666666666
A0A081UT42,205,91.12558048780487
A0A081UTT1,13,95.48076923076923
A0A081UU45,29,96.95741379310344
A0A081UU54,52,92.84355769230768
A0A081UU57,57,96.33715789473683
A0A081UU90,299,86.20967558528427
A0A081UU91,48,92.92666666666666
A0A081UU92,182,93.06465384615385
A0A081UU93,111,96.31741441441442
A0A081UUL5,279,95.18712544802867
A0A081UUU2,210,94.94554761904762
A0A081UV02,124,97.2741935483871
A0A081UV43,81,96.78282716049382
A0A081UV67,241,92.80171784232365
A0A081UV88,83,97.04474698795181
A0A081UV90,297,89.30683501683502
A0A081UVA8,184,97.2276195652174
A0A081UW71,104,96.01035576923076
A0A081UWK9,197,91.92875126903553
A0A081UXB8,16,91.171875
A0A081UXB9,49,92.49097959183673
A0A081UXC1,300,88.30466666666668
A0A081UXE2,115,94.13220869565217
A0A081UXF6,133,97.08032330827068
A0A081UXF8,54,95.57494444444445
A0A081UXL9,123,94.25573170731707
A0A081UXX7,124,91.77766935483871
A0A081UY42,294,89.37517346938775
A0A081UYK7,276,86.38188768115943
A0A081UYK9,120,94.81556666666667
A0A081UZ16,89,98.10186516853933
A0A081UZ37,218,88.0733486238532
A0A081UZ55,160,97.02239375
A0A081UZ76,48,92.60654166666666
A0A091A5N5,206,91.15097572815533
A0A091A881,300,97.83996666666667
